name,long,lat,date,intensity,type
Tempsoft,112.7420274,-8.0034823,9/4/2023,2,earthquake
Wrapsafe,-48.5637543,-22.472994,11/14/2022,4,flood
Zontrax,113.454975,22.884636,10/1/2022,10,hurricane
Span,140.3089223,38.4507739,5/10/2023,8,flood
Voyatouch,128.1744945,41.387384,7/10/2023,1,tornado
Mat Lam Tam,106.5024344,-6.1177509,6/15/2023,1,earthquake
Hatity,17.016667,21.333333,10/18/2022,3,hurricane
Sonsing,121.341718,13.952977,8/20/2023,9,flood
Cookley,-75.8704611,-12.3446835,1/8/2023,6,tornado
Tampflex,-73.9830029,10.8698035,11/11/2022,6,hurricane
Sonsing,61.4221758,57.3665832,8/15/2023,3,flood
Home Ing,-46.9343777,-22.363303,7/9/2023,6,flood
Ventosanzap,-80.8488498,41.2420649,7/29/2023,8,hurricane
Pannier,-46.8925845,-21.8324773,4/19/2023,3,tornado
Sonsing,-42.4724578,-4.6722064,12/30/2022,2,hurricane
Daltfresh,129.96471,62.34824,2/12/2023,4,flood
It,-58.4754447,-34.5430068,1/16/2023,1,flood
Biodex,18.1203419,59.37407,6/2/2023,1,hurricane
Y-Solowarm,-60.6961061,-32.9377962,10/25/2022,3,hurricane
Tampflex,108.758458,19.241239,11/29/2022,6,flood
Fintone,58.0384692,36.4056598,7/2/2023,6,earthquake
Keylex,149.3023702,6.6885285,5/15/2023,3,tornado
Holdlamis,120.738172,27.804365,11/16/2022,9,flood
Stim,-8.4574423,41.5217223,5/13/2023,2,flood
Bitchip,124.9120662,-9.101629,4/28/2023,4,flood
Namfix,15.5284132,51.9653089,11/20/2022,9,tornado
Namfix,17.2804413,62.1964266,2/3/2023,9,hurricane
Andalax,107.687866,29.758227,2/28/2023,2,hurricane
Job,107.4055814,10.5353285,4/25/2023,4,flood
Daltfresh,123.3996176,9.8769686,5/10/2023,7,flood
Sonsing,61.8643252,37.6092461,10/24/2022,2,tornado
Bigtax,21.8376406,49.9454719,12/1/2022,3,hurricane
Span,114.152183,38.02365,1/12/2023,1,earthquake
Treeflex,67.1894488,41.6183527,9/2/2023,7,hurricane
Duobam,121.2786716,14.5165603,6/5/2023,6,hurricane
Viva,30.5550816,59.79769,4/22/2023,1,tornado
Zaam-Dox,-5.7415013,41.5120612,7/21/2023,7,tornado
Asoka,15.959277,51.9611016,1/10/2023,5,tornado
Stim,101.5134398,-2.9863926,8/6/2023,2,hurricane
Flowdesk,22.0160467,40.9271303,6/12/2023,2,flood
Tin,106.726099,39.505925,12/10/2022,7,flood
Lotstring,-38.0005207,-11.1851883,12/14/2022,3,earthquake
Konklab,102.6298251,14.9649534,12/17/2022,8,flood
Keylex,174.9497836,-37.1954967,4/7/2023,1,hurricane
Treeflex,124.58333,7.05,11/15/2022,5,tornado
Otcom,115.75,-3.283333,11/26/2022,7,hurricane
Quo Lux,125.743983,8.47834,12/3/2022,7,earthquake
Tres-Zap,102.2261837,-1.2457596,3/6/2023,4,tornado
Vagram,35.072538,32.370069,11/10/2022,8,hurricane
Home Ing,30.3403569,60.0456385,9/23/2023,6,hurricane
Andalax,6.2747734,4.9211621,1/5/2023,1,tornado
Rank,119.382381,31.717564,9/1/2023,5,tornado
Biodex,-117.7659237,33.6682421,9/26/2023,5,tornado
Bamity,23.3261801,-34.0896763,1/31/2023,2,tornado
Stringtough,12.4859801,59.6806933,2/28/2023,9,hurricane
Cardguard,20.5308214,52.7602576,10/3/2022,3,hurricane
Latlux,30.12389,59.4225,1/22/2023,3,hurricane
Redhold,113.081508,22.579117,8/28/2023,9,tornado
Zamit,16.847761,46.8442339,5/29/2023,2,flood
Job,0.5957159,49.0871049,6/22/2023,5,earthquake
Asoka,-66.8424753,-29.4072828,9/28/2023,7,earthquake
Stim,-8.768226,40.562696,2/15/2023,5,earthquake
Bitchip,-88.8383036,15.026492,9/16/2023,8,tornado
Tampflex,-83.3155257,42.4395419,7/14/2023,7,hurricane
Zaam-Dox,6.624795,52.3517146,10/3/2022,3,earthquake
Latlux,114.9416819,38.776362,1/10/2023,9,tornado
Job,69.0254926,39.8772715,3/17/2023,8,earthquake
Transcof,113.39277,22.517585,5/3/2023,5,flood
Rank,113.8526,-8.0299,12/25/2022,10,tornado
Job,114.797389,36.266505,11/12/2022,4,tornado
